no,timeline,subtittle,text,H-RVkfXWL4s
1,4:03,howdy girl what's up,
2,4:10,sorry to try to chime in with a little one what's up hi guys,
3,4:19,are you guys camping today,
4,4:24,you guys better be in a real Forest by the way I need you all in a real forest,
5,4:30,or else you're not allowed to be in the the stream yes I'm I'm calling in from,
6,4:35,outside in my backyard um yeah I'm camping you guys I'm I'm,
7,4:41,having mosquitoes bite bite me left and right every minute oh ow yeah it really enhances the,
8,4:49,experience I'm gonna kill I'm gonna kill that that,
9,4:56,that that mosquito rat fly whatever that's flying around me just smack it,
10,5:01,away shall we you'll get him eventually you'll get him eventually you guys like,
11,5:07,the little fire we had built out there yes it's a bit far away so I'm a bit chilly,
12,5:15,that's fine that's fine we've done each other we're inside the tent we're fine that is true that is true and we've got,
13,5:22,our little blankets yeah which means that we might cause a fire hazard because we're leaving the,
14,5:27,fire unattended that is usually yeah fine yeah how are you guys doing welcome,
15,5:34,back to another episode of chat doing not bad actually um we're supposed to kind of do this a,
16,5:39,bit earlier but schedule things didn't really like work out too much so we ended up moving it to tonight the night,
17,5:45,of nights where we didn't really have much going on and it worked out for the better I think because I was looking,
18,5:51,forward to this all day today was one of the weirdest days of my life,
19,5:58,it's like I go out of my house for like one second and then it's like I Doom myself to run into like a million weird,
20,6:04,things and I say a million but there was really only two that kind of like freaked me out a little bit are you,
21,6:10,chomping on something bae you want to tell people what you're chomping on first we we prepared in celebration of um Chad,
22,6:18,Camp we've prepared some camp food um you know to really I mean I am in the,
23,6:23,backyard and you know definitely there's bugs everywhere I'm in nature but you know to really have that camp spirit I,
24,6:30,have some food a maid very lazy nachos,
25,6:35,um and it's really good is there such a thing as non-lazy nachos no I'm not I'm like actual nachos nachos right,
26,6:42,that you like order from restaurants and stuff and then you have my nachos that I put in the microwave okay I think it's a,
27,6:48,bit different oh you're making me really want to talk around five minutes taco rice is delicious,
28,6:54,you don't know what taco rice is no you he then um taco rice is uh it's Taco with,
29,7:03,rice basically you take the ingredients of a taco you dump it on top of rice isn't,
30,7:09,that just the burrito bowl no it's a little different because it's white rice it's called taco rice,
31,7:16,hold on a second wait I thought the ingredients of tacos and burritos pretty much the same,
32,7:24,kind of I feel like there's more rice in the actual um like the actual taco rice,
33,7:30,you crack like an egg over it sometimes and like you can eat it with chips my,
34,7:35,favorite has kind of a lot of vegetables in it too in my image okay that's what we call it okay that's a burrito bowl to,
35,7:42,me I see I see yeah I thought taco rice was a Japanese thing but maybe it's not,
36,7:48,like it is because I think it kind of is,
37,7:58,I see I see ladies have for Chad Kim s'mores,
38,8:04,so I went that was one of the reasons why I left my house today so I could get materials to make s'mores but you know,
39,8:10,it's Japan so it's impossible to find things to make s'mores especially especially if it's uh Natsu I meant to,
40,8:18,say summer oh my God if it sucks in such a in such a Gaijin accent to Natsu,
41,8:24,um he's trying to say nuts idiot no um I mean summertime because in summertime,
42,8:30,it's harder to find marshmallows but you guys I waited to tell I waited to tell you this on stream I found not only,
43,8:37,regular mushrooms but I also found mushrooms um oh marshmallows,
44,8:45,no it's mushrooms what I don't know why mushrooms I'm thinking about the mushrooms are delicious but they are,
45,8:52,really good I am a big fan marshmallows not only regular marshmallows but I also found don't don't you laugh at me I also,
46,9:00,found uh dajirling tea marshmallow is that how you pronounce it,
47,9:05,I have no clue what the jewelry I don't know in Japanese they pronounce,
48,9:12,it but I don't know Darjeeling I thought it was Darjeeling,
49,9:17,no don't trust me don't trust me I don't know what I don't know what what they're what it's called how it's pronounced,
50,9:24,yes and I also found coffee marshmallows too for Bae I thought you might be,
51,9:30,interested in that bay coffee marshmallows yeah I don't think I've ever seen coffee marshmallows,
52,9:36,before what the heck yeah I haven't either I'm about to try them,
53,9:41,let's go microwave and I couldn't find anything,
54,9:47,[Laughter] what do you say oh no no microwave,
55,9:54,s'mores is we have a fire right back there but I don't want to roast them instead I want to use the mini microwave that I brought,
56,10:01,using the power of newbie Rays um uh I am eating country mom because I,
57,10:08,couldn't find anything that was close to camper and like did in the convenience store nearby um but I have a chocolate country mom,
58,10:15,cookies which is very uh kind of catfish uh I also have chocolate covered chips,
59,10:20,that if you put it close to the fire the chocolate would become really droopy and,
60,10:26,yes like melted chocolate which I haven't opened yet but I will eat Iris,
61,10:32,don't tell me that they didn't have trail mix I think you just didn't want to eat trail mix,
62,10:38,no no I didn't see any trail mix nearby nope nope nope I don't see anything like,
63,10:44,that is that a fib or no I I really didn't I didn't trail mix,
64,10:50,didn't didn't really come up in my brain what else oh Cornell is walking around the,
65,10:55,convenience store now I guess that's true some people don't really think about trail mix when it comes to like stuff to take on like a hike and stuff,
66,11:02,like that but I always used to think about trail mix like awesome raisins chocolate chips and nuts [Music],
67,11:09,yeah I was gonna say the first time and only time I ever went hiking slash camping in my brain I was like oh my God,
68,11:16,I'm gonna be so cool with my trail mix and then I made it and then I didn't eat it and then I came back and then I still,
69,11:22,didn't eat it no ladies well I can't totally fall it's kind of,
70,11:29,nasty I've only had trail mix one time when we had to like um,
71,11:36,have like this we had this thing this Pro what do you call this it was like a,
