no,timeline,subtittle,text,O6PyZi2x4JA
1,0:00,,
2,0:12,how are y'all doing,
3,0:27,[Music],
4,0:51,have any of you actually seen the movie,
5,0:53,what's spongebob morbius yeah the first,
6,0:56,one i tried spongebob wait wait,
7,0:59,spongebob is an all-time classic i don't,
8,1:01,spongebob is an all-time classic ,
9,1:00,i don't know why you couldn't get through it girl yeah,
10,1:04,wait i'll give you us no wait spongebob,
11,1:07,movie 2004 it's the one where he's a,
12,1:09,vampire and,
13,1:23,yes episode where spongebob becomes a,
14,1:27,scary vampire and he grows fangs get out,
15,1:29,of my head,
16,1:31,okay wait did you like do you have any,
17,1:32,quotes from it can you ring the bell,
18,1:34,[Music],
19,1:36,it's morphing,
20,1:38,time david hasselhoff's in that one,
21,1:41,right yeah yeah you remember see you,
22,1:43,remember i guess anyway,
23,1:46,should we play the game yeah we should,
24,1:49,probably play a game yeah this game can,
25,1:52,we mentioned it  everyone in this game is in tick talk,
26,2:05,wear some shoes what i have shoeless where,
27,2:05,[Music],
28,2:06,i have shoes what i have shoeless where,
29,2:09,let me see what do you see yeah okay,
30,2:12,time out i'm not what's up,
31,2:15,no i'm not gonna hurt you just tell them,
32,2:17,okay i don't trust you,
33,2:19,if i wanted to right now look i'm,
34,2:32,oh,
35,2:43,so how do i... end you like permanantly,permanantly 영구적으로\d 영원히
36,2:49,mummy's drawing of me yeah this,
37,2:51,character,
38,2:52,grandma,
39,2:54,in one year in one year,
40,2:56,a year of streaming,
41,2:59,knock knock who's there,
42,3:02,[Music],
43,3:05,i said who's there,
44,3:09,is this the punchline yeah because i'm a,
45,3:12,ghost you see oh,
46,3:14,i see that's my favorite knock-knock,
47,3:16,joke my favorite one is um but you guys,
48,3:18,have to start it knock knock who's there,
49,3:23,i hate it,
50,3:26,that's my favorite song,
51,3:29,i invited you to my mommy oh yeah,
52,3:33,no isaac his pose was very uh just,
53,3:36,restart the game,
54,3:38,points on you,
55,3:40,would you guys rather eat a baby goat or,
56,3:43,a matter baby,
57,3:45,what do you want no i won't fall for it,
58,3:47,again a baby a goat or a matter baby,
59,3:50,what's a matter baby nothing much sugar,
60,3:52,what's the matter with you,
61,3:58,i even gave you a warning,
62,4:02,[Music],
63,4:05,you guys know what a homunculus is like,
64,4:07,the the video the youtube videos for the,
65,4:10,guy and the egg oh hey that was cool,
66,4:14,i don't think i'll ever answer a,
67,4:15,question from you guys again because,
68,4:17,it's just a setup hey i didn't do,
69,4:19,anything,
70,4:20,you're right okay sorry i take it back,
71,4:22,if fauna,
72,4:25,why is fun no mummy has a point i have a,
73,4:29,point well you just answered another,
74,4:31,question from me did i,
75,4:33,why wait no that's not a question what,
76,4:36,is the question it's simply a it's a i'm,
77,4:39,arguing with you it's an argument now,
78,4:42,it's an argument we're supposed to be on,
79,4:44,the same side since when,
80,4:46,there are no signs,
81,4:49,now yeah,
82,4:51,get back to work ladies,
83,4:53,get those streaming hours up,
84,4:56,please grandma's streaming hurt the,
85,4:58,brain grandma,
86,4:59,you need to push the get ready button i,
87,5:02,did it,
88,5:03,you're not red,
89,5:05,oh look at cody's screaming that's mine,
90,5:10,where are you young ladies,
91,5:13,[Music],
92,5:15,break you think you get breaks eat on,break 휴식
93,5:19,stream,
94,5:20,that's primo content you're throwing,
95,5:23,away i like people hearing me,
96,5:26,oh my god,
97,5:28,you're so cute,
98,5:31,you're so cute and chubby oh my god,
99,5:34,oh my god,
100,5:42,[Music],
101,5:48,this is very suspicious,
102,5:52,is someone around here,
103,5:57,[Music],
104,6:00,you go,
105,6:02,get away,
106,6:03,[Music],
107,6:13,how do you fly every time,
108,6:17,oh no are you dancing for me or no no,
109,6:21,oh oh,
110,6:22,crony connie connie,
111,6:25,why why don't we just talk this out you,
112,6:27,want to play some chess,
113,6:29,chess chess,
114,6:31,sounds cool i heard you like chess,
115,6:34,i do like chess there's a bingo chess,
116,6:37,board that's awesome,
117,6:40,are you really at the chessboard,
118,6:42,i am are you playing i like i like that,
119,6:54,oh,
120,7:12,i heard that boy bands are in right now,
121,7:17,apparently steam is being poo poo today,
122,7:21,yeah can we get gabe on the phone uh,
123,7:23,gabe where is uh half-life 3 no don't,
124,7:26,ask him that don't ask him that don't,
125,7:28,scare him away he's not gonna fix our,
126,7:31,problems,
127,7:34,he kind of looks like emma watts and,
128,7:36,like,
129,7:37,mummy said in this earlier but,
130,7:40,kinda looks like emma watson yeah,
131,7:44,i feel like i don't really know what,
132,7:46,emma watson looks like is she hermione,
133,7:48,yeah,
134,7:50,and belle from beauty and the beast the,
135,7:53,live-action one i don't think i saw them,
136,8:00,emotionless flat faces compared to 2d i remember,flat faces 납작한 얼굴
137,8:04,but emotionless,
138,8:06,flat faces compared to 2d i remember,
139,8:10,years ago somebody made their own like,
140,8:12,cgi lion king yeah i saw that one,
141,8:16,very impressive yeah,
142,8:18,i was gonna ask you tony did you like,
143,8:20,avatar,
144,8:22,it is one of the most movies out there,
145,8:27,definitely one of the movies of all time,
146,8:30,yeah yeah definitely,
147,8:32,i agree,
148,8:33,gosh,
