no,timeline,subtittle,text,h2F5d5WgPVE
1,0:00,hello chefs and cheflings earlier today,
2,0:04,i asked you guys i said send in your,
3,0:06,food you could it could be,
4,0:08,just anything really it could be cursed,cursed 저주받은
5,0:10,you could be microwaved it could be,microwaved 전자레인지로된
6,0:11,something super fancy uh whatever it is,
7,0:14,that you wanted to send me so,
8,0:21,okay here's my materialist ready because,
9,0:23,i'm gonna be ranking your foods okay so,
10,0:25,tippy top is sweet saxophone uh if i see,
11,0:28,a picture of your food and i start,
12,0:32,playing audible weeping as if your food,weeping 눈물이 나는\naudible 소리가 나오는
13,0:35,is sent from heaven then yeah you get a,
14,0:37,you get a definite sweet saxophone,
15,0:39,because saxophone is there,
16,0:41,underneath that we have good food good,
17,0:43,food is a solid category to be in ,solid category 확실한 범주
18,0:45,you can't beat good food right ,you can't beat good food\n좋은 음식을 이길 수 없다
19,0:47,unless you have sweet saxophone food but yeah,saxophone food가 없다면 말이지
20,0:49,because good food is good food i spelled,
21,0:51,saxophone wrong how do you spell,
22,0:53,saxophone,
23,0:54,it's sex or,
24,0:56,oh wait a minute should i fix it i can,
25,0:57,there's phone,
26,1:00,fix that,
27,1:02,[Music],
28,1:04,there is that better saxophone,
29,1:08,you don't understand the saxophone,
30,1:10,ranking do you ever see something so,
31,1:12,delicious that you just hear saxophones,
32,1:13,in your head,
33,1:15,no what's wrong with you what's wrong,
34,1:18,with me all right underneath we have,
35,1:19,good food we have el intento there was,el intento 대충 '노력했다' 는 뜻
36,1:22,an attempt an attempt has been made uh,
37,1:25,which uh probably is i'm confused but,
38,1:28,i'm still probably going to put that in,
39,1:30,my mouth whatever it is attempts are,
40,1:32,still good you know not necessarily bad,
41,1:34,there was effort underneath that we have,
42,1:37,dorm cuisine which is well you may do,
43,1:39,with what you had underneath that we,
44,1:41,have,
45,1:42,[Music],
46,1:43,health inspection,
47,1:47,somebody call the health inspector,
48,1:49,whoever made this needs to be detained,
49,1:51,so the first submission we have these,
50,1:53,are out of order this pork cutlet,
51,1:56,sandwich with lettuce this looks,
52,1:58,delicious by the way that's an instant,
53,2:01,good food oh yeah this is gummy worms on,
54,2:03,cheese pizza my instinct is to say,
55,2:07,but people put bananas on pizza and,
56,2:09,canned pineapple so,
57,2:12,i'm not gonna lie i would try it this,
58,2:14,might be dorm cuisine because i'm not,
59,2:15,sure that i think this might be a frozen,
60,2:17,pizza that's not health inspection,
61,2:20,though you'll know when it's a health,
62,2:21,inspection some of these are horrifying,
63,2:24,is this spaghetti heavy with sausage,
64,2:27,eyeballs anna is that a canvas did you,
65,2:30,glue this down like an art project i,
66,2:33,love how you gave it a little smiley,
67,2:35,face too,
68,2:37,there you had you have to admit there,
69,2:38,was that took time i appreciate the,
70,2:41,effort i will eat that,
71,2:44,oh boy i think i think this is,
72,2:46,sauerkraut they said i didn't choose it,sauerkraut(자우어크라우트)\n양배추를 발효시켜 만드는 요리
73,2:48,just because it's a jar okay no,
74,2:51,i chose it because,
75,2:55,it's in a jar,
76,2:56,yeah is there a girl figure in there i,
77,2:59,hope not,
78,3:01,i'm gonna put this in el nintento if you,
79,3:04,made it from scratch it takes it takes a,
80,3:06,lot it takes a little bit of effort,
81,3:12,[Music],
82,3:15,i don't mean to alarm you but your pizza,
83,3:17,has hair like actual hair i like how,
84,3:19,they're presenting it too do you see how,
85,3:21,they're holding that plate like a waiter,
86,3:23,i'm ready to deliver this absolute,
87,3:25,fermented delicacy,
88,3:28,oh dear they have bayonetta a chair dare,
